month,cupcakes
2004-01,5
2004-02,6
2004-03,5
2004-04,6
2004-05,5
2004-06,5
2004-07,5
2004-08,6
2004-09,6
2004-10,9
2004-11,6
2004-12,6
2005-01,6
2005-02,8
2005-03,8
2005-04,7
2005-05,7
2005-06,7
2005-07,7
2005-08,8
2005-09,8
2005-10,12
2005-11,8
2005-12,8
2006-01,9
2006-02,11
2006-03,10
2006-04,12
2006-05,10
2006-06,11
2006-07,10
2006-08,11
2006-09,13
2006-10,15
2006-11,12
2006-12,11
2007-01,13
2007-02,16
2007-03,15
2007-04,17
2007-05,16
2007-06,16
2007-07,17
2007-08,18
2007-09,20
2007-10,21
2007-11,18
2007-12,17
2008-01,18
2008-02,24
2008-03,23
2008-04,24
2008-05,26
2008-06,24
2008-07,24
2008-08,25
2008-09,26
2008-10,31
2008-11,29
2008-12,26
2009-01,28
2009-02,36
2009-03,34
2009-04,35
2009-05,35
2009-06,35
2009-07,37
2009-08,39
2009-09,35
2009-10,43
2009-11,38
2009-12,35
2010-01,36
2010-02,47
2010-03,47
2010-04,45
2010-05,50
2010-06,49
2010-07,57
2010-08,62
2010-09,55
2010-10,64
2010-11,57
2010-12,53
2011-01,57
2011-02,70
2011-03,66
2011-04,75
2011-05,68
2011-06,71
2011-07,70
2011-08,79
2011-09,76
2011-10,85
2011-11,80
2011-12,79
2012-01,80
2012-02,93
2012-03,89
2012-04,93
2012-05,91
2012-06,92
2012-07,90
2012-08,88
2012-09,90
2012-10,94
2012-11,86
2012-12,85
2013-01,83
2013-02,98
2013-03,99
2013-04,89
2013-05,89
2013-06,81
2013-07,90
2013-08,85
2013-09,86
2013-10,96
2013-11,88
2013-12,87
2014-01,83
2014-02,100
2014-03,91
2014-04,90
2014-05,88
2014-06,80
2014-07,80
2014-08,79
2014-09,83
2014-10,91
2014-11,84
2014-12,76
2015-01,72
2015-02,88
2015-03,82
2015-04,75
2015-05,76
2015-06,72
2015-07,74
2015-08,71
2015-09,70
2015-10,79
2015-11,72
2015-12,70
2016-01,66
2016-02,76
2016-03,71
2016-04,65
2016-05,66
2016-06,62
2016-07,63
2016-08,58
2016-09,62
2016-10,69
2016-11,60
2016-12,58
2017-01,56
2017-02,71
2017-03,65
2017-04,60
2017-05,57
2017-06,52
2017-07,51
2017-08,54
2017-09,57
2017-10,63
2017-11,55
2017-12,52
2018-01,49
2018-02,60
2018-03,59
2018-04,50
2018-05,53
2018-06,46
2018-07,46
2018-08,48
2018-09,49
2018-10,55
2018-11,50
2018-12,49
2019-01,50
2019-02,57
2019-03,49
2019-04,51
2019-05,48
2019-06,47
2019-07,42
2019-08,44
2019-09,45
2019-10,53
2019-11,46
2019-12,43
2020-01,41
2020-02,48
2020-03,42
2020-04,56
2020-05,59
2020-06,53
2020-07,51
2020-08,45
2020-09,42
2020-10,49
2020-11,43
2020-12,43
2021-01,42
2021-02,54
2021-03,50
2021-04,45
2021-05,47
2021-06,40
2021-07,41
2021-08,39
2021-09,38
2021-10,45
2021-11,39
2021-12,40
2022-01,37
2022-02,45
2022-03,39
2022-04,44
2022-05,42
2022-06,38
2022-07,36
2022-08,37
2022-09,39
2022-10,42
2022-11,37
2022-12,37
2023-01,32
