ID,Favorite Color,Favorite Music Genre,Favorite Beverage,Favorite Soft Drink,Gender
1,Neutral,Hip hop,Vodka,Coca Cola/Pepsi,F
2,Warm,Rock,Wine,Coca Cola/Pepsi,F
3,Warm,Folk/Traditional,Whiskey,Fanta,F
4,Cool,Rock,Vodka,Coca Cola/Pepsi,F
5,Warm,Jazz/Blues,Doesn't drink,Fanta,F
6,Cool,Pop,Beer,Coca Cola/Pepsi,F
7,Warm,Pop,Whiskey,Fanta,F
8,Warm,Rock,Other,7UP/Sprite,F
9,Neutral,Pop,Wine,Coca Cola/Pepsi,F
10,Warm,Pop,Other,7UP/Sprite,F
11,Warm,Pop,Wine,7UP/Sprite,F
12,Warm,Electronic,Wine,Coca Cola/Pepsi,F
13,Cool,Rock,Beer,Coca Cola/Pepsi,F
14,Warm,Jazz/Blues,Wine,Coca Cola/Pepsi,F
15,Cool,Pop,Wine,7UP/Sprite,F
16,Cool,Rock,Other,Coca Cola/Pepsi,F
17,Cool,Rock,Other,Coca Cola/Pepsi,F
18,Cool,Pop,Doesn't drink,7UP/Sprite,F
19,Cool,Pop,Beer,Fanta,F
20,Warm,Jazz/Blues,Whiskey,Fanta,F
21,Cool,Rock,Vodka,Coca Cola/Pepsi,F
22,Warm,Pop,Other,Coca Cola/Pepsi,F
23,Cool,Folk/Traditional,Whiskey,7UP/Sprite,F
24,Warm,R&B and soul,Whiskey,Coca Cola/Pepsi,F
25,Cool,Pop,Beer,Other,F
26,Cool,Pop,Doesn't drink,Other,F
27,Neutral,Rock,Beer,Coca Cola/Pepsi,F
28,Cool,R&B and soul,Beer,Coca Cola/Pepsi,F
29,Warm,R&B and soul,Wine,Other,M
30,Neutral,Hip hop,Beer,7UP/Sprite,M
31,Warm,Electronic,Other,Coca Cola/Pepsi,M
32,Cool,Pop,Other,Fanta,M
33,Cool,Pop,Whiskey,Fanta,M
34,Warm,Rock,Vodka,7UP/Sprite,M
35,Cool,Rock,Vodka,Coca Cola/Pepsi,M
36,Neutral,Pop,Doesn't drink,7UP/Sprite,M
37,Warm,R&B and soul,Doesn't drink,Coca Cola/Pepsi,M
38,Cool,Rock,Wine,7UP/Sprite,M
39,Cool,Folk/Traditional,Beer,Other,M
40,Cool,Hip hop,Beer,Coca Cola/Pepsi,M
41,Cool,R&B and soul,Whiskey,7UP/Sprite,M
42,Warm,Hip hop,Beer,Coca Cola/Pepsi,M
43,Cool,R&B and soul,Doesn't drink,Coca Cola/Pepsi,M
44,Cool,Rock,Doesn't drink,Coca Cola/Pepsi,M
45,Warm,Rock,Beer,Fanta,M
46,Cool,Electronic,Doesn't drink,Fanta,M
47,Warm,Folk/Traditional,Other,Fanta,M
48,Warm,Jazz/Blues,Vodka,Coca Cola/Pepsi,M
49,Cool,Pop,Whiskey,Other,M
50,Cool,Electronic,Whiskey,Coca Cola/Pepsi,M
51,Cool,Rock,Vodka,Coca Cola/Pepsi,M
52,Cool,Hip hop,Beer,Coca Cola/Pepsi,M
53,Neutral,Hip hop,Doesn't drink,Fanta,M
54,Cool,Rock,Wine,Coca Cola/Pepsi,M
55,Cool,Electronic,Beer,Coca Cola/Pepsi,M
